draw,CXCL8 KO|NEUT,CXCL8 KO|D,IL1B KO|NEUT,IL1B KO|D,TNF KO|NEUT,TNF KO|D,STAT3 KO|NEUT,STAT3 KO|D,JAK2 inhibition|NEUT,JAK2 inhibition|D
278,78.12713484973474,56.64691353605698,100.0,100.0,25.87605885712543,11.324122185898766,10.858672049063289,4.26602737495454,8.210820338512459,3.16862672346494
279,81.45792754098638,56.77318704498931,100.0,100.0,22.152546206986777,7.84033774928311,7.154765710732802,2.2519485411725326,5.364627121932686,1.666487935256844
280,66.04821485821743,41.95020733466988,100.0,100.0,37.401547751597455,18.1637856143273,7.873056890309438,3.0769354796009285,6.2335979517919355,2.410079481597316
281,78.7355841239495,49.94536562209376,100.0,100.0,24.77332588216331,8.151126340333438,5.655906808048083,1.5898675870891332,4.303833507045695,1.1974646333679728
282,80.77740567425221,55.79036275921554,100.0,100.0,23.632021754611454,8.502778145874624,6.390017857756048,2.0087720648906737,5.065955753910711,1.5772445360755394
283,78.30329455162902,55.05776831689651,100.0,100.0,25.223228500782767,10.273788157483976,6.023385330175978,2.1293635611540074,4.437692493422407,1.5518715957032136
284,77.50714190649221,53.21273850499839,100.0,100.0,25.96959545862947,10.376862425592003,6.744955641342953,2.3315879153913865,5.0645108514259185,1.7302925581939133
285,81.86014232335066,54.47186441855576,100.0,100.0,21.588040567744727,6.802795021636355,8.507323060728977,2.405933600255672,6.772024611697802,1.889475676402963
286,70.19120130880722,43.20496142773025,100.0,100.0,34.54410914907775,14.565988904973137,7.358247712240251,2.5017805988221564,5.60649915330872,1.8826980238972668
287,80.42997930542852,56.5219083709708,100.0,100.0,23.634981485045405,8.916972672012957,9.088827952306321,3.065410537574098,6.794317581602439,2.253837983908069
288,70.77917038177496,44.143484146404674,100.0,100.0,33.132536855522,13.916745497544758,6.739553718146651,2.3035202270252464,5.169294915243006,1.7474543171546952
289,75.07012534542427,43.74348905674809,100.0,100.0,28.074585447113932,9.156285086926186,11.186142443625446,3.149874100643202,8.126817764511818,2.233146841146927
290,80.35530269468187,53.57758536039452,100.0,100.0,22.866703171254255,7.718968467778109,5.016670679431911,1.468350103752336,4.056486905634715,1.1788825018064442
