gene,fc_PG_vs_NN,p_PG_vs_NN,fc_SS_vs_NN,p_SS_vs_NN
LOC101929106,0.0475,0.125699,0.0,nan
PEX5L-AS2,0.0,nan,0.0,nan
LINC01266,-0.2834,0.304486,-0.3347,0.224568
GRM7-AS3,0.0,nan,0.0,nan
LOC101927394,-0.0194,0.89569,-0.112,0.442048
LOC101927374,0.0227,0.176596,0.0271,0.159957
LINC01267,0.0337,0.085773,0.0641,0.029707
LINC02016,0.0897,0.002777,0.0885,0.023361
ADAMTS9-AS1,1.3267,0.043021,1.5289,0.023075
LINC01213,0.5065,6e-06,0.2481,0.001956
NCK1-DT,0.8166,0.001509,0.6801,0.007024
LINC01214,1.6062,0.000585,1.119,0.009081
AADACL2-AS1,0.0407,0.097065,0.1099,0.024543
ITGA9-AS1,0.0147,0.321537,0.0253,0.162438
SEMA3B-AS1,-0.2817,0.259961,-0.2936,0.240847
CHL1-AS1,0.0792,0.416322,0.1745,0.133271
TMEM108-AS1,0.0796,0.712966,-0.0402,0.856268
LOC101927829,0.0548,0.890686,-0.0302,0.939445
LOC101928135,0.0,nan,0.0,nan
LINC01209,0.3218,7.1e-05,0.3832,0.001387
C3orf67-AS1,0.0043,0.321537,0.0,nan
HP09053,-0.1704,0.492977,-0.2931,0.244501
LINC02044,-0.1275,0.683323,-0.0369,0.907225
LINC01986,0.0,nan,0.0,nan
LINC02015,0.0066,0.976874,0.1262,0.589939
LINC02585,0.0267,0.047239,0.1427,0.078655
LINCR-0002,-0.0106,0.846849,0.0051,0.934484
LINC00901,0.0,nan,0.0,nan
LOC100507291,-0.5023,0.115222,-0.4348,0.172426
LINC01391,0.1668,0.545077,-0.0439,0.870582
LOC440982,0.0221,0.626248,0.0583,0.254237
LOC101928105,0.0377,0.084878,0.0611,0.030614
LOC101927296,0.0923,0.022698,0.0127,0.322778
ZBTB20-AS5,0.0698,0.009751,0.0619,0.256804
